item_id,difficulty
halu_1554,1.3148911452098577
halu_1562,1.3148911452098577
halu_1691,1.3148911452098577
halu_1742,-8.29894493036975e-06
halu_2059,1.3148911452098577
halu_2347,1.3148911452098577
halu_2395,-8.29894493036975e-06
halu_2592,1.3148911452098577
halu_3233,-8.29894493036975e-06
halu_340,-8.29894493036975e-06
halu_3768,-8.29894493036975e-06
halu_4011,1.3148911452098577
halu_4121,1.3148911452098577
halu_4371,1.3148911452098577
halu_4773,1.3148911452098577
halu_5119,-8.29894493036975e-06
halu_5561,-8.29894493036975e-06
halu_569,-8.29894493036975e-06
halu_575,-1.3149336457141299
halu_6004,1.3148911452098577
halu_6028,1.3148911452098577
halu_6293,-8.29894493036975e-06
halu_6357,1.3148911452098577
halu_6456,-8.29894493036975e-06
halu_6843,1.3148911452098577
halu_7035,1.3148911452098577
halu_7160,-8.29894493036975e-06
halu_7231,-8.29894493036975e-06
halu_7360,1.3148911452098577
halu_7682,-8.29894493036975e-06
halu_7688,-1.3149336457141299
halu_7717,-8.29894493036975e-06
halu_7994,-8.29894493036975e-06
halu_8032,-1.3149336457141299
halu_8202,1.3148911452098577
halu_832,-8.29894493036975e-06
halu_8684,-8.29894493036975e-06
halu_8924,-8.29894493036975e-06
halu_893,1.3148911452098577
halu_9193,-8.29894493036975e-06
halu_9601,1.3148911452098577
halu_9762,-8.29894493036975e-06
halu_9894,-8.29894493036975e-06
ragt_0,1.3148911452098577
ragt_10512,-8.29894493036975e-06
ragt_10581,-8.29894493036975e-06
ragt_10599,-8.29894493036975e-06
ragt_10615,-5.999939441488574
ragt_10756,-8.29894493036975e-06
ragt_10760,-8.29894493036975e-06
ragt_10945,-5.999939441488574
ragt_11087,-5.999939441488574
ragt_11159,-1.3149336457141299
ragt_1116,-5.999939441488574
ragt_1123,-5.999939441488574
ragt_11884,-8.29894493036975e-06
ragt_126,-5.999939441488574
ragt_12849,-5.999939441488574
ragt_13005,-8.29894493036975e-06
ragt_13247,-1.3149336457141299
ragt_1331,-5.999939441488574
ragt_13434,-5.999939441488574
ragt_13486,-1.3149336457141299
ragt_14012,-8.29894493036975e-06
ragt_14092,-8.29894493036975e-06
ragt_14155,-8.29894493036975e-06
ragt_14163,-5.999939441488574
ragt_14201,-1.3149336457141299
ragt_14327,1.3148911452098577
ragt_14478,-1.3149336457141299
ragt_14520,-8.29894493036975e-06
ragt_1476,-1.3149336457141299
ragt_14761,1.3148911452098577
ragt_14880,-5.999939441488574
ragt_15082,-8.29894493036975e-06
ragt_1585,-8.29894493036975e-06
ragt_1828,-5.999939441488574
ragt_2214,-5.999939441488574
ragt_2455,1.3148911452098577
ragt_2799,-5.999939441488574
ragt_2816,-5.999939441488574
ragt_326,-8.29894493036975e-06
ragt_3637,-5.999939441488574
ragt_3642,1.3148911452098577
ragt_3857,-5.999939441488574
ragt_4066,-5.999939441488574
ragt_4359,-5.999939441488574
ragt_4447,-5.999939441488574
ragt_4618,-8.29894493036975e-06
ragt_5000,-5.999939441488574
ragt_5988,-8.29894493036975e-06
ragt_6267,-1.3149336457141299
ragt_6860,-8.29894493036975e-06
ragt_6963,-1.3149336457141299
ragt_6985,-8.29894493036975e-06
ragt_7297,-5.999939441488574
ragt_735,-5.999939441488574
ragt_7367,-1.3149336457141299
ragt_758,-5.999939441488574
ragt_79,1.3148911452098577
ragt_8114,1.3148911452098577
ragt_843,-8.29894493036975e-06
ragt_8868,1.3148911452098577
ragt_8887,-8.29894493036975e-06
ragt_8984,-1.3149336457141299
ragt_9,-5.999939441488574
ragt_9130,-1.3149336457141299
ragt_9468,-8.29894493036975e-06
ragt_9755,1.3148911452098577
tqa_10,-8.29894493036975e-06
tqa_104,-1.3149336457141299
tqa_116,-8.29894493036975e-06
tqa_124,-5.999939441488574
tqa_153,-8.29894493036975e-06
tqa_172,-8.29894493036975e-06
tqa_209,-8.29894493036975e-06
tqa_228,-5.999939441488574
tqa_260,-8.29894493036975e-06
tqa_261,-5.999939441488574
tqa_266,-1.3149336457141299
tqa_277,-5.999939441488574
tqa_28,1.3148911452098577
tqa_280,-8.29894493036975e-06
tqa_281,-1.3149336457141299
tqa_285,-8.29894493036975e-06
tqa_287,-5.999939441488574
tqa_316,-1.3149336457141299
tqa_372,-1.3149336457141299
tqa_391,-5.999939441488574
tqa_512,-1.3149336457141299
tqa_564,-8.29894493036975e-06
tqa_609,1.3148911452098577
tqa_622,-5.999939441488574
tqa_639,-5.999939441488574
tqa_646,-8.29894493036975e-06
tqa_647,-5.999939441488574
tqa_648,1.3148911452098577
tqa_652,-8.29894493036975e-06
tqa_656,1.3148911452098577
tqa_679,-1.3149336457141299
tqa_701,-8.29894493036975e-06
tqa_702,-1.3149336457141299
tqa_703,-8.29894493036975e-06
tqa_719,-8.29894493036975e-06
tqa_752,-1.3149336457141299
tqa_763,-1.3149336457141299
tqa_772,1.3148911452098577
tqa_795,-1.3149336457141299
tqa_809,-1.3149336457141299
tqa_96,-1.3149336457141299
